X	Y	Z	Speed	Pause
60.230	27.085	0	2000	2000
60.230	27.085	-37.519	2000	2000
60.230	27.085	-41.404	200	2000
74.715	27.085	-41.404	200	2000
60.230	27.085	-41.404	200	2000
74.715	27.085	-41.404	200	2000
60.230	27.085	-41.404	200	2000
74.715	27.085	-41.404	200	2000
60.230	27.085	-41.404	200	2000
74.715	27.085	-41.404	200	2000
74.715	27.085	0	2000	2000
4.525	-93.720	0	2000	2000
4.525	-93.720	-13.055	2000	2000
4.525	-93.720	0	2000	2000
-77.320	-9.565	0	2000	2000
-77.320	-9.565	-33.420	2000	2000
-79.670	-9.565	0	2000	2000
-78.960	-96.300	0	2000	2000
