X	Y	Z	Speed	Pause
-80.000	-96.300	0.000	1000	2000
76.000	64.765	0.000	1000	2000
76.000	64.765	-20	1000	2000
76.000	64.765	-30	100	2000
76.000	64.765	0.000	1000	2000
74.870	55.770	0.000	1000	2000
74.870	55.770	-20	1000	2000
74.870	55.770	-30	100	2000
74.870	55.770	0.000	1000	2000
-55.105	-65.630	0.000	1000	2000
-55.105	-65.630	-20	1000	2000
-55.105	-65.630	-30	100	2000
-55.105	-65.630	0.000	1000	2000
-78.870	-20.265	0.000	1000	2000
-78.870	-20.265	-30	1000	2000
-79.840	-20.265	-30	1000	2000
-80.000	-20.265	-30	1000	2000
-80.000	-20.265	0.000	1000	2000
-80.000	-96.300	0.000	1000	2000
