X	Y	Z	Speed	Pause
-75.700	50.825	0	4000	2000
60.015	59.890	0	4000	2000
81.500	63.115	-47	2000	2000
81.500	63.115	-47.723	12	2000
71.500	63.115	-47.723	25	2000
81.500	63.115	-47.723	25	2000
81.500	63.115	-47.723	25	2000
71.500	63.115	-47.723	25	2000
81.500	63.115	-47.723	25	2000
71.500	63.115	-47.723	25	2000
81.500	63.115	-47.723	25	2000
81.500	63.115	0	4000	2000
15.065	-90.810	0	4000	2000
15.065	-90.810	-1.207	4000	2000
15.065	-90.810	-9.867	250	2000
15.065	-90.810	0	4000	2000
-75.700	50.825	0	4000	2000
-75.700	50.825	-25.232	4000	2000
