X	Y	Z	Speed	Pause
-80.000	-96.300	0.000	1000	2000
76.000	64.765	0.000	1000	2000
76.000	64.765	-2	1000	2000
76.000	64.765	-3	100	2000
76.000	64.765	0.000	1000	2000
74.870	55.770	0.000	1000	2000
74.870	55.770	-2	1000	2000
74.870	55.770	-3	100	2000
74.870	55.770	0.000	1000	2000
-55.105	-65.630	0.000	1000	2000
-55.105	-65.630	-2	1000	2000
-55.105	-65.630	-3	100	2000
-55.105	-65.630	0.000	1000	2000
-78.870	-20.265	0.000	1000	2000
-78.870	-20.265	-3	1000	2000
-79.840	-20.265	-3	1000	2000
-80.000	-20.265	-3	1000	2000
-80.000	-20.265	0.000	1000	2000
-80.000	-96.300	0.000	1000	2000
